team_name,conf,div,win,loss,win_loss_pct,mov,ortg,drtg,ntrg,movA,ortgA,drtgA,nrtgA,plyf
Chicago Bulls,E,C,62,20,.756,7.11,108.71,100.86,7.85,7.24,108.88,100.87,8.00,1
Los Angeles Lakers,W,P,61,21,.744,7.74,112.51,104.48,8.03,6.88,112.02,104.92,7.10,1
Indiana Pacers,E,C,58,24,.707,6.09,109.32,102.52,6.79,6.25,109.56,102.58,6.98,1
Seattle SuperSonics,W,P,61,21,.744,7.17,112.39,104.68,7.70,6.33,111.91,105.12,6.79,1
Utah Jazz,W,M,62,20,.756,6.54,113.22,105.87,7.35,5.73,112.80,106.35,6.45,1
Miami Heat,E,A,55,27,.671,4.93,108.47,102.81,5.65,5.09,108.69,102.85,5.83,1
Phoenix Suns,W,P,56,26,.683,5.18,108.27,102.49,5.78,4.44,107.68,102.73,4.95,1
Atlanta Hawks,E,C,50,32,.610,3.51,109.12,105.25,3.87,3.85,109.56,105.31,4.25,1
San Antonio Spurs,W,M,56,26,.683,3.99,104.70,100.22,4.48,3.30,103.99,100.28,3.71,1
Cleveland Cavaliers,E,C,47,35,.573,2.73,102.87,99.95,2.92,3.06,102.94,99.65,3.29,1
New York Knicks,E,A,43,39,.524,2.46,103.83,101.10,2.73,2.74,103.91,100.87,3.05,1
Charlotte Hornets,E,C,51,31,.622,2.00,108.23,106.16,2.08,2.45,108.69,106.11,2.59,1
Detroit Pistons,E,C,37,45,.451,1.57,106.33,104.56,1.77,1.95,106.65,104.47,2.19,0
New Jersey Nets,E,A,43,39,.524,1.57,109.14,107.35,1.78,1.89,109.61,107.48,2.13,1
Washington Wizards,E,A,42,40,.512,0.59,105.83,105.26,0.57,1.11,106.23,105.07,1.16,0
Portland Trail Blazers,W,P,46,36,.561,1.40,104.59,103.04,1.55,0.83,104.01,103.09,0.92,1
Minnesota Timberwolves,W,M,45,37,.549,0.71,108.48,107.77,0.71,0.17,108.14,108.02,0.12,1
Orlando Magic,E,A,41,41,.500,-1.07,103.34,104.60,-1.26,-0.53,103.70,104.35,-0.65,0
Houston Rockets,W,M,41,41,.500,-0.76,108.30,109.21,-0.90,-1.22,108.04,109.46,-1.42,1
Milwaukee Bucks,E,C,36,46,.439,-1.91,104.20,106.36,-2.16,-1.33,104.63,106.14,-1.51,0
Boston Celtics,E,A,36,46,.439,-2.62,103.40,106.29,-2.89,-1.96,103.93,106.08,-2.16,0
Philadelphia 76ers,E,A,31,51,.378,-2.39,103.56,106.31,-2.75,-1.89,103.96,106.14,-2.19,0
Sacramento Kings,W,P,27,55,.329,-5.59,101.54,107.70,-6.16,-5.83,101.19,107.62,-6.43,0
Dallas Mavericks,W,M,20,62,.244,-6.11,101.52,108.21,-6.70,-6.33,101.19,108.13,-6.94,0
Vancouver Grizzlies,W,M,19,63,.232,-7.30,104.95,112.83,-7.88,-7.47,104.86,112.93,-8.07,0
Los Angeles Clippers,W,P,17,65,.207,-7.37,104.06,112.06,-7.99,-7.53,103.93,112.11,-8.18,0
Toronto Raptors,E,C,16,66,.195,-9.27,101.74,111.73,-9.99,-8.32,102.45,111.40,-8.95,0
Golden State Warriors,W,P,19,63,.232,-9.12,96.53,106.31,-9.79,-9.20,96.09,105.98,-9.89,0
Denver Nuggets,W,M,11,71,.134,-11.78,99.93,113.10,-13.16,-11.74,99.84,112.95,-13.11,0
