team_name,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
New York Knicks,20,240.0,31.9,74.3,.429,3.2,11.4,.281,28.7,62.9,.456,18.1,23.9,.757,10.2,29.1,39.3,15.0,7.6,3.9,12.6,25.5,85.0
San Antonio Spurs,17,240.0,31.6,70.1,.451,4.1,11.8,.350,27.5,58.4,.471,21.1,28.5,.742,9.8,30.4,40.2,21.3,7.3,5.8,14.2,21.8,88.4
Indiana Pacers,13,241.9,32.8,74.2,.441,6.5,18.0,.363,26.2,56.2,.466,21.5,28.2,.763,11.6,29.8,41.5,20.7,6.6,5.2,15.3,25.9,93.6
Portland Trail Blazers,13,240.0,29.4,69.4,.424,3.8,11.1,.340,25.6,58.3,.439,23.6,31.4,.752,9.8,28.9,38.8,18.2,7.7,4.2,13.2,23.9,86.2
Utah Jazz,11,244.5,32.4,75.0,.432,2.9,9.6,.302,29.5,65.4,.451,21.5,28.3,.762,11.2,31.5,42.6,22.0,7.7,4.7,14.5,27.1,89.2
Los Angeles Lakers,8,240.0,35.3,79.6,.443,4.8,15.6,.304,30.5,64.0,.477,18.8,29.3,.641,12.1,28.3,40.4,19.5,6.6,6.4,13.1,25.3,94.0
Atlanta Hawks,9,240.0,28.6,74.6,.383,4.8,15.3,.312,23.8,59.2,.402,17.8,23.1,.769,12.0,26.9,38.9,13.9,8.1,4.0,13.3,19.4,79.7
Philadelphia 76ers,8,240.0,34.6,82.1,.422,2.5,10.5,.238,32.1,71.6,.449,17.5,24.5,.714,16.9,27.5,44.4,19.0,10.4,5.1,12.9,25.5,89.3
Sacramento Kings,5,250.0,32.4,79.6,.407,6.2,22.2,.279,26.2,57.4,.456,19.6,26.4,.742,12.8,28.6,41.4,18.2,10.6,4.4,17.6,23.8,90.6
Detroit Pistons,5,240.0,32.2,75.0,.429,3.4,9.4,.362,28.8,65.6,.439,11.4,14.4,.792,11.2,24.0,35.2,17.8,7.2,1.8,11.6,22.6,79.2
Miami Heat,5,240.0,27.2,68.0,.400,5.6,18.6,.301,21.6,49.4,.437,19.0,27.0,.704,8.2,27.4,35.6,16.4,7.2,4.4,11.8,20.6,79.0
Houston Rockets,4,240.0,33.8,81.3,.415,7.8,21.3,.365,26.0,60.0,.433,21.8,28.5,.763,13.3,32.5,45.8,20.5,7.5,4.5,12.8,26.0,97.0
Orlando Magic,4,240.0,27.8,73.8,.376,6.8,21.8,.310,21.0,52.0,.404,24.0,32.3,.744,14.5,25.0,39.5,19.8,9.0,3.8,18.3,23.5,86.3
Minnesota Timberwolves,4,240.0,32.0,80.8,.396,2.5,8.0,.313,29.5,72.8,.405,14.0,18.3,.767,14.3,29.3,43.5,18.8,6.5,6.0,13.8,24.0,80.5
Milwaukee Bucks,3,248.3,34.0,75.0,.453,4.7,14.0,.333,29.3,61.0,.481,22.7,29.3,.773,11.0,27.0,38.0,20.0,8.3,5.0,16.3,30.0,95.3
Phoenix Suns,3,240.0,34.7,80.7,.430,7.0,18.7,.375,27.7,62.0,.446,16.0,21.7,.738,10.3,22.7,33.0,22.3,10.3,2.3,13.7,29.0,92.3
League Average,8,241.1,31.8,74.7,.425,4.4,13.7,.320,27.4,60.9,.449,19.7,26.5,.744,11.4,28.7,40.1,18.7,7.8,4.6,13.8,24.3,87.6
